,date,numOccurrences,gender,sentiment,topic
0,2015-01,2373,male,negative,child brides
1,2015-02,2182,male,negative,child brides
2,2015-03,2186,male,negative,child brides
3,2015-04,2006,male,negative,child brides
4,2015-05,1380,male,negative,child brides
5,2015-06,911,male,negative,child brides
6,2015-07,3786,male,negative,child brides
7,2015-08,4133,male,negative,child brides
8,2015-09,4622,male,negative,child brides
9,2015-10,4390,male,negative,child brides
10,2015-11,3238,male,negative,child brides
11,2015-12,2840,male,negative,child brides
0,2015-01,586,female,negative,child brides
1,2015-02,944,female,negative,child brides
2,2015-03,705,female,negative,child brides
3,2015-04,1015,female,negative,child brides
4,2015-05,626,female,negative,child brides
5,2015-06,490,female,negative,child brides
6,2015-07,1511,female,negative,child brides
7,2015-08,1602,female,negative,child brides
8,2015-09,2062,female,negative,child brides
9,2015-10,1597,female,negative,child brides
10,2015-11,1434,female,negative,child brides
11,2015-12,1526,female,negative,child brides
0,2015-01,1973,male,neutral,child brides
1,2015-02,1357,male,neutral,child brides
2,2015-03,1598,male,neutral,child brides
3,2015-04,1146,male,neutral,child brides
4,2015-05,1063,male,neutral,child brides
5,2015-06,874,male,neutral,child brides
6,2015-07,2586,male,neutral,child brides
7,2015-08,2130,male,neutral,child brides
8,2015-09,3402,male,neutral,child brides
9,2015-10,3038,male,neutral,child brides
10,2015-11,1900,male,neutral,child brides
11,2015-12,2376,male,neutral,child brides
0,2015-01,862,female,neutral,child brides
1,2015-02,504,female,neutral,child brides
2,2015-03,665,female,neutral,child brides
3,2015-04,493,female,neutral,child brides
4,2015-05,360,female,neutral,child brides
5,2015-06,392,female,neutral,child brides
6,2015-07,1059,female,neutral,child brides
7,2015-08,1509,female,neutral,child brides
8,2015-09,1628,female,neutral,child brides
9,2015-10,1481,female,neutral,child brides
10,2015-11,882,female,neutral,child brides
11,2015-12,1380,female,neutral,child brides
0,2015-01,1816,male,positive,child brides
1,2015-02,1107,male,positive,child brides
2,2015-03,724,male,positive,child brides
3,2015-04,750,male,positive,child brides
4,2015-05,507,male,positive,child brides
5,2015-06,316,male,positive,child brides
6,2015-07,1442,male,positive,child brides
7,2015-08,1816,male,positive,child brides
8,2015-09,2245,male,positive,child brides
9,2015-10,2079,male,positive,child brides
10,2015-11,1787,male,positive,child brides
11,2015-12,1820,male,positive,child brides
0,2015-01,584,female,positive,child brides
1,2015-02,519,female,positive,child brides
2,2015-03,491,female,positive,child brides
3,2015-04,303,female,positive,child brides
4,2015-05,175,female,positive,child brides
5,2015-06,188,female,positive,child brides
6,2015-07,580,female,positive,child brides
7,2015-08,643,female,positive,child brides
8,2015-09,1560,female,positive,child brides
9,2015-10,1627,female,positive,child brides
10,2015-11,747,female,positive,child brides
11,2015-12,508,female,positive,child brides
0,2015-01,1442,male,negative,sexual harassment
1,2015-02,1015,male,negative,sexual harassment
2,2015-03,1550,male,negative,sexual harassment
3,2015-04,1382,male,negative,sexual harassment
4,2015-05,727,male,negative,sexual harassment
5,2015-06,626,male,negative,sexual harassment
6,2015-07,2319,male,negative,sexual harassment
7,2015-08,3589,male,negative,sexual harassment
8,2015-09,3012,male,negative,sexual harassment
9,2015-10,1772,male,negative,sexual harassment
10,2015-11,1646,male,negative,sexual harassment
11,2015-12,2829,male,negative,sexual harassment
0,2015-01,478,female,negative,sexual harassment
1,2015-02,776,female,negative,sexual harassment
2,2015-03,768,female,negative,sexual harassment
3,2015-04,553,female,negative,sexual harassment
4,2015-05,604,female,negative,sexual harassment
5,2015-06,425,female,negative,sexual harassment
6,2015-07,815,female,negative,sexual harassment
7,2015-08,1314,female,negative,sexual harassment
8,2015-09,1051,female,negative,sexual harassment
9,2015-10,1452,female,negative,sexual harassment
10,2015-11,1129,female,negative,sexual harassment
11,2015-12,579,female,negative,sexual harassment
0,2015-01,768,male,neutral,sexual harassment
1,2015-02,831,male,neutral,sexual harassment
2,2015-03,1316,male,neutral,sexual harassment
3,2015-04,982,male,neutral,sexual harassment
4,2015-05,436,male,neutral,sexual harassment
5,2015-06,463,male,neutral,sexual harassment
6,2015-07,2129,male,neutral,sexual harassment
7,2015-08,1762,male,neutral,sexual harassment
8,2015-09,2264,male,neutral,sexual harassment
9,2015-10,1440,male,neutral,sexual harassment
10,2015-11,1011,male,neutral,sexual harassment
11,2015-12,825,male,neutral,sexual harassment
0,2015-01,200,female,neutral,sexual harassment
1,2015-02,432,female,neutral,sexual harassment
2,2015-03,440,female,neutral,sexual harassment
3,2015-04,396,female,neutral,sexual harassment
4,2015-05,274,female,neutral,sexual harassment
5,2015-06,195,female,neutral,sexual harassment
6,2015-07,398,female,neutral,sexual harassment
7,2015-08,1256,female,neutral,sexual harassment
8,2015-09,669,female,neutral,sexual harassment
9,2015-10,631,female,neutral,sexual harassment
10,2015-11,908,female,neutral,sexual harassment
11,2015-12,421,female,neutral,sexual harassment
0,2015-01,428,male,positive,sexual harassment
1,2015-02,112,male,positive,sexual harassment
2,2015-03,152,male,positive,sexual harassment
3,2015-04,199,male,positive,sexual harassment
4,2015-05,64,male,positive,sexual harassment
5,2015-06,314,male,positive,sexual harassment
6,2015-07,881,male,positive,sexual harassment
7,2015-08,523,male,positive,sexual harassment
8,2015-09,303,male,positive,sexual harassment
9,2015-10,214,male,positive,sexual harassment
10,2015-11,216,male,positive,sexual harassment
11,2015-12,133,male,positive,sexual harassment
0,2015-01,47,female,positive,sexual harassment
1,2015-02,123,female,positive,sexual harassment
2,2015-03,75,female,positive,sexual harassment
3,2015-04,57,female,positive,sexual harassment
4,2015-05,59,female,positive,sexual harassment
5,2015-06,71,female,positive,sexual harassment
6,2015-07,58,female,positive,sexual harassment
7,2015-08,306,female,positive,sexual harassment
8,2015-09,121,female,positive,sexual harassment
9,2015-10,171,female,positive,sexual harassment
10,2015-11,63,female,positive,sexual harassment
11,2015-12,59,female,positive,sexual harassment
0,2015-01,47,male,negative,feminism
1,2015-02,15,male,negative,feminism
2,2015-03,8,male,negative,feminism
3,2015-04,11,male,negative,feminism
4,2015-05,34,male,negative,feminism
5,2015-06,7,male,negative,feminism
6,2015-07,22,male,negative,feminism
7,2015-08,18,male,negative,feminism
8,2015-09,21,male,negative,feminism
9,2015-10,23,male,negative,feminism
10,2015-11,8,male,negative,feminism
11,2015-12,1,male,negative,feminism
0,2015-01,362,female,negative,feminism
1,2015-02,109,female,negative,feminism
2,2015-03,136,female,negative,feminism
3,2015-04,20,female,negative,feminism
4,2015-05,38,female,negative,feminism
5,2015-06,40,female,negative,feminism
6,2015-07,119,female,negative,feminism
7,2015-08,41,female,negative,feminism
8,2015-09,93,female,negative,feminism
9,2015-10,92,female,negative,feminism
10,2015-11,36,female,negative,feminism
